Target_id	Tax_id	Gene_id	Gene_name	Gene_alias	Db_xrefs	Chromosome	Map_location	Description	Type_of_gene	TTD_target_id	TTD_target_type
HBTAR000731	9606	1178	CLC	GAL10; Gal-10; LGALS10; LGALS10A; LPPL_HUMAN	OMIM:153310; HGNC:HGNC:2014; Ensembl:ENSG00000105205	19	19q13.2	Charcot-Leyden crystal galectin	protein-coding	NA	/
HBTAR000732	9606	1180	CLCN1	CLC1	OMIM:118425; HGNC:HGNC:2019; Ensembl:ENSG00000188037	7	7q34	chloride voltage-gated channel 1	protein-coding	T72467	Research target
HBTAR000733	9606	1181	CLCN2	CIC-2; CLC2; ECA2; ECA3; EGI11; EGI3; EGMA; EJM6; EJM8; HALD2; LKPAT; clC-2	OMIM:600570; HGNC:HGNC:2020; Ensembl:ENSG00000114859	3	3q27.1	chloride voltage-gated channel 2	protein-coding	T50066	Successful target
HBTAR000734	9606	1182	CLCN3	CLC3; ClC-3	OMIM:600580; HGNC:HGNC:2021; Ensembl:ENSG00000109572	4	4q33	chloride voltage-gated channel 3	protein-coding	T60671	Research target
HBTAR000735	9606	1183	CLCN4	CLC4; ClC-4; ClC-4A; MRX15; MRX49; MRXSRC	OMIM:302910; HGNC:HGNC:2022; Ensembl:ENSG00000073464	X	Xp22.2	chloride voltage-gated channel 4	protein-coding	NA	/
HBTAR000736	9606	1184	CLCN5	CLC5; CLCK2; ClC-5; DENTS; NPHL1; NPHL2; XLRH; XRN; hCIC-K2	OMIM:300008; HGNC:HGNC:2023; Ensembl:ENSG00000171365	X	Xp11.23	chloride voltage-gated channel 5	protein-coding	NA	/
HBTAR000737	9606	1185	CLCN6	CLC-6	OMIM:602726; HGNC:HGNC:2024; Ensembl:ENSG00000011021	1	1p36.22	chloride voltage-gated channel 6	protein-coding	T20455	Research target
HBTAR000738	9606	1186	CLCN7	CLC-7; CLC7; HOD; OPTA2; OPTB4; PPP1R63	OMIM:602727; HGNC:HGNC:2025; Ensembl:ENSG00000103249	16	16p13.3	chloride voltage-gated channel 7	protein-coding	T43531	Research target
HBTAR000739	9606	1187	CLCNKA	CLCK1; ClC-K1; hClC-Ka	OMIM:602024; HGNC:HGNC:2026; Ensembl:ENSG00000186510	1	1p36.13	chloride voltage-gated channel Ka	protein-coding	T04149	Research target
HBTAR000740	9606	1188	CLCNKB	CLCKB; ClC-K2; ClC-Kb	OMIM:602023; HGNC:HGNC:2027; Ensembl:ENSG00000184908	1	1p36.13	chloride voltage-gated channel Kb	protein-coding	T78758	Research target
HBTAR000741	9606	1191	CLU	AAG4; APO-J; APOJ; CLI; CLU1; CLU2; KUB1; NA1/NA2; SGP-2; SGP2; SP-40; TRPM-2; TRPM2	OMIM:185430; HGNC:HGNC:2095; Ensembl:ENSG00000120885	8	8p21.1	clusterin	protein-coding	T96669	Research target
HBTAR000742	9606	1192	CLIC1	CL1C1; CLCNL1; G6; NCC27	OMIM:602872; HGNC:HGNC:2062; Ensembl:ENSG00000213719	6	6p21.33	chloride intracellular channel 1	protein-coding	T99092	Research target
HBTAR000743	9606	1193	CLIC2	CLCNL2; CLIC2b; MRXS32; XAP121	OMIM:300138; HGNC:HGNC:2063; Ensembl:ENSG00000155962	X	Xq28	chloride intracellular channel 2	protein-coding	NA	/
HBTAR000744	9606	1195	CLK1	CLK; CLK/STY; STY	OMIM:601951; HGNC:HGNC:2068; Ensembl:ENSG00000013441	2	2q33.1	CDC like kinase 1	protein-coding	T46685	Patented target
HBTAR000745	9606	1196	CLK2	-	OMIM:602989; HGNC:HGNC:2069; Ensembl:ENSG00000176444	1	1q22	CDC like kinase 2	protein-coding	T73725	Patented target
HBTAR000746	9606	1198	CLK3	PHCLK3; PHCLK3/152	OMIM:602990; HGNC:HGNC:2071; Ensembl:ENSG00000179335	15	15q24.1	CDC like kinase 3	protein-coding	T21585	Research target
HBTAR000747	9606	1200	TPP1	CLN2; GIG1; LPIC; SCAR7; TPP-1	OMIM:607998; HGNC:HGNC:2073; Ensembl:ENSG00000166340	11	11p15.4	tripeptidyl peptidase 1	protein-coding	T56262	Successful target
HBTAR000748	9606	1201	CLN3	BTN1; BTS; JNCL	OMIM:607042; HGNC:HGNC:2074; Ensembl:ENSG00000188603; Ensembl:ENSG00000261832	16	16p12.1	"CLN3 lysosomal/endosomal transmembrane protein, battenin"	protein-coding	NA	/
HBTAR000749	9606	1203	CLN5	-	OMIM:608102; HGNC:HGNC:2076; Ensembl:ENSG00000102805	13	13q22.3	CLN5 intracellular trafficking protein	protein-coding	NA	/
HBTAR000750	9606	1208	CLPS	-	OMIM:120105; HGNC:HGNC:2085; Ensembl:ENSG00000137392	6	6p21.31	colipase	protein-coding	NA	/
HBTAR000751	9606	1209	CLPTM1	-	OMIM:604783; HGNC:HGNC:2087; Ensembl:ENSG00000104853	19	19q13.32	CLPTM1 regulator of GABA type A receptor forward trafficking	protein-coding	NA	/
HBTAR000752	9606	1212	CLTB	LCB	OMIM:118970; HGNC:HGNC:2091; Ensembl:ENSG00000175416	5	5q35.2	clathrin light chain B	protein-coding	NA	/
HBTAR000753	9606	1213	CLTC	CHC; CHC17; CLH-17; CLTCL2; Hc; MRD56	OMIM:118955; HGNC:HGNC:2092; Ensembl:ENSG00000141367	17	17q23.1	clathrin heavy chain	protein-coding	NA	/
HBTAR000754	9606	1215	CMA1	CYH; MCT1; chymase	OMIM:118938; HGNC:HGNC:2097; Ensembl:ENSG00000092009	14	14q12	chymase 1	protein-coding	T05114	Clinical Trial target
HBTAR000755	9606	1230	CCR1	CD191; CKR-1; CKR1; CMKBR1; HM145; MIP1aR; SCYAR1	OMIM:601159; HGNC:HGNC:1602; Ensembl:ENSG00000163823	3	3p21.31	C-C motif chemokine receptor 1	protein-coding	T16016	Clinical Trial target
HBTAR000756	9606	1232	CCR3	C C CKR3; CC-CKR-3; CD193; CKR 3; CKR3; CMKBR3	OMIM:601268; HGNC:HGNC:1604; Ensembl:ENSG00000183625	3	3p21.31	C-C motif chemokine receptor 3	protein-coding	T85228	Clinical Trial target
HBTAR000757	9606	1233	CCR4	CC-CKR-4; CD194; CKR4; CMKBR4; ChemR13; HGCN:14099; K5-5	OMIM:604836; HGNC:HGNC:1605; Ensembl:ENSG00000183813	3	3p22.3	C-C motif chemokine receptor 4	protein-coding	T06955	Successful target
HBTAR000758	9606	1234	CCR5	CC-CKR-5; CCCKR5; CCR-5; CD195; CKR-5; CKR5; CMKBR5; IDDM22	OMIM:601373; HGNC:HGNC:1606; Ensembl:ENSG00000160791	3	3p21.31	C-C motif chemokine receptor 5	protein-coding	T72171	Successful target
HBTAR000759	9606	1235	CCR6	BN-1; C-C CKR-6; CC-CKR-6; CCR-6; CD196; CKR-L3; CKRL3; CMKBR6; DCR2; DRY6; GPR29; GPRCY4; STRL22	OMIM:601835; HGNC:HGNC:1607; Ensembl:ENSG00000112486	6	6q27	C-C motif chemokine receptor 6	protein-coding	NA	/
HBTAR000760	9606	1236	CCR7	BLR2; CC-CKR-7; CCR-7; CD197; CDw197; CMKBR7; EBI1	OMIM:600242; HGNC:HGNC:1608; Ensembl:ENSG00000126353	17	17q21.2	C-C motif chemokine receptor 7	protein-coding	T84981	Research target
HBTAR000761	9606	1237	CCR8	CC-CKR-8; CCR-8; CDw198; CKRL1; CMKBR8; CMKBRL2; CY6; GPRCY6; TER1	OMIM:601834; HGNC:HGNC:1609; Ensembl:ENSG00000179934	3	3p22.1	C-C motif chemokine receptor 8	protein-coding	T20575	Discontinued target
HBTAR000762	9606	1241	LTB4R	BLT1; BLTR; CMKRL1; GPR16; LTB4R1; LTBR1; P2RY7; P2Y7	OMIM:601531; HGNC:HGNC:6713; Ensembl:ENSG00000213903	14	14q12	leukotriene B4 receptor	protein-coding	T59626	Clinical Trial target
HBTAR000763	9606	1244	ABCC2	ABC30; CMOAT; DJS; MRP2; cMRP	OMIM:601107; HGNC:HGNC:53; Ensembl:ENSG00000023839	10	10q24.2	ATP binding cassette subfamily C member 2	protein-coding	T61792	Research target
HBTAR000764	9606	1258	CNGB1	CNCG2; CNCG3L; CNCG4; CNG4; CNGB1B; GAR1; GARP; GARP2; RCNC2; RCNCb; RCNCbeta; RP45	OMIM:600724; HGNC:HGNC:2151; Ensembl:ENSG00000070729	16	16q21	cyclic nucleotide gated channel subunit beta 1	protein-coding	NA	/
HBTAR000765	9606	1261	CNGA3	ACHM2; CCNC1; CCNCa; CCNCalpha; CNCG3; CNG3	OMIM:600053; HGNC:HGNC:2150; Ensembl:ENSG00000144191	2	2q11.2	cyclic nucleotide gated channel subunit alpha 3	protein-coding	T78510	Research target
HBTAR000766	9606	1262	CNGA4	CNCA2; CNG-4; CNG4; CNG5; CNGB2; OCNC2; OCNCBETA; OCNCb	OMIM:609472; HGNC:HGNC:2152; Ensembl:ENSG00000132259	11	11p15.4	cyclic nucleotide gated channel subunit alpha 4	protein-coding	NA	/
HBTAR000767	9606	1263	PLK3	CNK; FNK; PLK-3; PRK	OMIM:602913; HGNC:HGNC:2154; Ensembl:ENSG00000173846	1	1p34.1	polo like kinase 3	protein-coding	NA	/
HBTAR000768	9606	1264	CNN1	HEL-S-14; SMCC; Sm-Calp	OMIM:600806; HGNC:HGNC:2155; Ensembl:ENSG00000130176	19	19p13.2	calponin 1	protein-coding	NA	/
HBTAR000769	9606	1265	CNN2	-	OMIM:602373; HGNC:HGNC:2156; Ensembl:ENSG00000064666	19	19p13.3	calponin 2	protein-coding	NA	/
HBTAR000770	9606	1266	CNN3	-	OMIM:602374; HGNC:HGNC:2157; Ensembl:ENSG00000117519	1	1p21.3	calponin 3	protein-coding	NA	/
HBTAR000771	9606	1267	CNP	CNP1	OMIM:123830; HGNC:HGNC:2158; Ensembl:ENSG00000173786	17	17q21.2	"2',3'-cyclic nucleotide 3' phosphodiesterase"	protein-coding	T51464	Research target
HBTAR000772	9606	1268	CNR1	CANN6; CB-R; CB1; CB1A; CB1K5; CB1R; CNR	OMIM:114610; HGNC:HGNC:2159; Ensembl:ENSG00000118432	6	6q15	cannabinoid receptor 1	protein-coding	T76685	Successful target
HBTAR000773	9606	1269	CNR2	CB-2; CB2; CX5	OMIM:605051; HGNC:HGNC:2160; Ensembl:ENSG00000188822	1	1p36.11	cannabinoid receptor 2	protein-coding	T37693	Successful target
HBTAR000774	9606	1270	CNTF	HCNTF	OMIM:118945; HGNC:HGNC:2169; Ensembl:ENSG00000242689	11	11q12.1	ciliary neurotrophic factor	protein-coding	T83192	Clinical Trial target
HBTAR000775	9606	1272	CNTN1	F3; GP135; MYPCN	OMIM:600016; HGNC:HGNC:2171; Ensembl:ENSG00000018236	12	12q12	contactin 1	protein-coding	T58393	Research target
HBTAR000776	9606	1277	COL1A1	CAFYD; EDSARTH1; EDSC; OI1; OI2; OI3; OI4	OMIM:120150; HGNC:HGNC:2197; Ensembl:ENSG00000108821	17	17q21.33	collagen type I alpha 1 chain	protein-coding	NA	/
HBTAR000777	9606	1278	COL1A2	EDSARTH2; EDSCV; OI4	OMIM:120160; HGNC:HGNC:2198; Ensembl:ENSG00000164692	7	7q21.3	collagen type I alpha 2 chain	protein-coding	T15167	Clinical Trial target
HBTAR000778	9606	1280	COL2A1	ANFH; AOM; COL11A3; SEDC; STL1	OMIM:120140; HGNC:HGNC:2200; Ensembl:ENSG00000139219	12	12q13.11	collagen type II alpha 1 chain	protein-coding	NA	/
HBTAR000779	9606	1281	COL3A1	EDS4A; EDSVASC; PMGEDSV	OMIM:120180; HGNC:HGNC:2201; Ensembl:ENSG00000168542	2	2q32.2	collagen type III alpha 1 chain	protein-coding	NA	/
HBTAR000780	9606	1282	COL4A1	BSVD; BSVD1; COL4A1s; PADMAL; RATOR	OMIM:120130; HGNC:HGNC:2202; Ensembl:ENSG00000187498	13	13q34	collagen type IV alpha 1 chain	protein-coding	NA	/
HBTAR000781	9606	1284	COL4A2	BSVD2; ICH; POREN2	OMIM:120090; HGNC:HGNC:2203; Ensembl:ENSG00000134871	13	13q34	collagen type IV alpha 2 chain	protein-coding	NA	/
HBTAR000782	9606	1285	COL4A3	ATS2; ATS3	OMIM:120070; HGNC:HGNC:2204; Ensembl:ENSG00000169031	2	2q36.3	collagen type IV alpha 3 chain	protein-coding	NA	/
HBTAR000783	9606	1286	COL4A4	ATS2; BFH; CA44	OMIM:120131; HGNC:HGNC:2206; Ensembl:ENSG00000081052	2	2q36.3	collagen type IV alpha 4 chain	protein-coding	NA	/
HBTAR000784	9606	1287	COL4A5	ASLN; ATS; ATS1; CA54	OMIM:303630; HGNC:HGNC:2207; Ensembl:ENSG00000188153	X	Xq22.3	collagen type IV alpha 5 chain	protein-coding	NA	/
HBTAR000785	9606	1288	COL4A6	CXDELq22.3; DELXq22.3; DFNX6	OMIM:303631; HGNC:HGNC:2208; Ensembl:ENSG00000197565	X	Xq22.3	collagen type IV alpha 6 chain	protein-coding	NA	/
HBTAR000786	9606	1289	COL5A1	EDSC; EDSCL1	OMIM:120215; HGNC:HGNC:2209; Ensembl:ENSG00000130635	9	9q34.3	collagen type V alpha 1 chain	protein-coding	NA	/
HBTAR000787	9606	1290	COL5A2	EDSC; EDSCL2	OMIM:120190; HGNC:HGNC:2210; Ensembl:ENSG00000204262	2	2q32.2	collagen type V alpha 2 chain	protein-coding	NA	/
HBTAR000788	9606	1291	COL6A1	BTHLM1; OPLL; UCHMD1	OMIM:120220; HGNC:HGNC:2211; Ensembl:ENSG00000142156	21	21q22.3	collagen type VI alpha 1 chain	protein-coding	NA	/
HBTAR000789	9606	1292	COL6A2	BTHLM1; PP3610; UCMD1	OMIM:120240; HGNC:HGNC:2212; Ensembl:ENSG00000142173	21	21q22.3	collagen type VI alpha 2 chain	protein-coding	NA	/
HBTAR000790	9606	1293	COL6A3	BTHLM1; DYT27; UCMD1	OMIM:120250; HGNC:HGNC:2213; Ensembl:ENSG00000163359	2	2q37.3	collagen type VI alpha 3 chain	protein-coding	T83450	Research target
HBTAR000791	9606	1294	COL7A1	EBD1; EBDCT; EBR1; NDNC8	OMIM:120120; HGNC:HGNC:2214; Ensembl:ENSG00000114270	3	3p21.31	collagen type VII alpha 1 chain	protein-coding	T96876	Research target
HBTAR000792	9606	1297	COL9A1	DJ149L1.1.2; EDM6; MED; STL4	OMIM:120210; HGNC:HGNC:2217; Ensembl:ENSG00000112280	6	6q13	collagen type IX alpha 1 chain	protein-coding	NA	/
HBTAR000793	9606	1298	COL9A2	DJ39G22.4; EDM2; MED; STL5	OMIM:120260; HGNC:HGNC:2218; Ensembl:ENSG00000049089	1	1p34.2	collagen type IX alpha 2 chain	protein-coding	NA	/
HBTAR000794	9606	1299	COL9A3	DJ885L7.4.1; EDM3; IDD; MED	OMIM:120270; HGNC:HGNC:2219; Ensembl:ENSG00000092758	20	20q13.33	collagen type IX alpha 3 chain	protein-coding	NA	/
HBTAR000795	9606	1300	COL10A1	-	OMIM:120110; HGNC:HGNC:2185; Ensembl:ENSG00000123500	6	6q22.1	collagen type X alpha 1 chain	protein-coding	NA	/
HBTAR000796	9606	1301	COL11A1	CO11A1; COLL6; DFNA37; STL2	OMIM:120280; HGNC:HGNC:2186; Ensembl:ENSG00000060718	1	1p21.1	collagen type XI alpha 1 chain	protein-coding	NA	/
HBTAR000797	9606	1302	COL11A2	DFNA13; DFNB53; FBCG2; HKE5; OSMEDA; OSMEDB; PARP; STL3	OMIM:120290; HGNC:HGNC:2187; Ensembl:ENSG00000204248	6	6p21.32	collagen type XI alpha 2 chain	protein-coding	NA	/
HBTAR000798	9606	1303	COL12A1	BA209D8.1; BTHLM2; COL12A1L; DJ234P15.1; EDSMYP; UCMD2	OMIM:120320; HGNC:HGNC:2188; Ensembl:ENSG00000111799	6	6q13-q14.1	collagen type XII alpha 1 chain	protein-coding	NA	/
HBTAR000799	9606	1305	COL13A1	CMS19; COLXIIIA1	OMIM:120350; HGNC:HGNC:2190; Ensembl:ENSG00000197467	10	10q22.1	collagen type XIII alpha 1 chain	protein-coding	NA	/
HBTAR000800	9606	1306	COL15A1	-	OMIM:120325; HGNC:HGNC:2192; Ensembl:ENSG00000204291	9	9q22.33	collagen type XV alpha 1 chain	protein-coding	NA	/
HBTAR000801	9606	1307	COL16A1	447AA; FP1572	OMIM:120326; HGNC:HGNC:2193; Ensembl:ENSG00000084636	1	1p35.2	collagen type XVI alpha 1 chain	protein-coding	NA	/
HBTAR000802	9606	1308	COL17A1	BA16H23.2; BP180; BPA-2; BPAG2; ERED; LAD-1	OMIM:113811; HGNC:HGNC:2194; Ensembl:ENSG00000065618	10	10q25.1	collagen type XVII alpha 1 chain	protein-coding	NA	/
HBTAR000803	9606	1311	COMP	EDM1; EPD1; MED; PSACH; THBS5; TSP5	OMIM:600310; HGNC:HGNC:2227; Ensembl:ENSG00000105664	19	19p13.11	cartilage oligomeric matrix protein	protein-coding	NA	/
HBTAR000804	9606	1312	COMT	HEL-S-98n	OMIM:116790; HGNC:HGNC:2228; Ensembl:ENSG00000093010	22	22q11.21	catechol-O-methyltransferase	protein-coding	T76904	Successful target
HBTAR000805	9606	1316	KLF6	BCD1; CBA1; COPEB; CPBP; GBF; PAC1; ST12; ZF9	OMIM:602053; HGNC:HGNC:2235; Ensembl:ENSG00000067082	10	10p15.2	Kruppel like factor 6	protein-coding	NA	/
HBTAR000806	9606	1317	SLC31A1	COPT1; CTR1	OMIM:603085; HGNC:HGNC:11016; Ensembl:ENSG00000136868	9	9q32	solute carrier family 31 member 1	protein-coding	NA	/
HBTAR000807	9606	1318	SLC31A2	COPT2; CTR2; hCTR2	OMIM:603088; HGNC:HGNC:11017; Ensembl:ENSG00000136867	9	9q32	solute carrier family 31 member 2	protein-coding	NA	/
HBTAR000808	9606	1325	CORT	CST-14; CST-17; CST-29	OMIM:602784; HGNC:HGNC:2257; Ensembl:ENSG00000241563	1	1p36.22	cortistatin	protein-coding	NA	/
HBTAR000809	9606	1326	MAP3K8	AURA2; COT; EST; ESTF; MEKK8; TPL2; Tpl-2; c-COT	OMIM:191195; HGNC:HGNC:6860; Ensembl:ENSG00000107968	10	10p11.23	mitogen-activated protein kinase kinase kinase 8	protein-coding	T46700	Research target
HBTAR000810	9606	1327	COX4I1	COX IV-1; COX4; COX4-1; COXIV; COXIV-1	OMIM:123864; HGNC:HGNC:2265; Ensembl:ENSG00000131143	16	16q24.1	cytochrome c oxidase subunit 4I1	protein-coding	NA	/
HBTAR000811	9606	1329	COX5B	COXVB	OMIM:123866; HGNC:HGNC:2269; Ensembl:ENSG00000135940	2	2q11.2	cytochrome c oxidase subunit 5B	protein-coding	NA	/
HBTAR000812	9606	1337	COX6A1	CMTRID; COX6A; COX6AL	OMIM:602072; HGNC:HGNC:2277; Ensembl:ENSG00000111775	12	12q24.31|12q24.2	cytochrome c oxidase subunit 6A1	protein-coding	NA	/
HBTAR000813	9606	1339	COX6A2	COX6AH; COXVIAH	OMIM:602009; HGNC:HGNC:2279; Ensembl:ENSG00000156885	16	16p11.2	cytochrome c oxidase subunit 6A2	protein-coding	NA	/
HBTAR000814	9606	1340	COX6B1	COX6B; COXG; COXVIb1	OMIM:124089; HGNC:HGNC:2280; Ensembl:ENSG00000126267	19	19q13.12	cytochrome c oxidase subunit 6B1	protein-coding	NA	/
HBTAR000815	9606	1345	COX6C	-	OMIM:124090; HGNC:HGNC:2285; Ensembl:ENSG00000164919	8	8q22.2	cytochrome c oxidase subunit 6C	protein-coding	NA	/
HBTAR000816	9606	1346	COX7A1	COX7A; COX7AH; COX7AM	OMIM:123995; HGNC:HGNC:2287; Ensembl:ENSG00000161281	19	19q13.12	cytochrome c oxidase subunit 7A1	protein-coding	NA	/
HBTAR000817	9606	1347	COX7A2	COX7AL; COX7AL1; COXVIIAL; COXVIIa-L; VIIAL	OMIM:123996; HGNC:HGNC:2288; Ensembl:ENSG00000112695	6	6q14.1	cytochrome c oxidase subunit 7A2	protein-coding	NA	/
HBTAR000818	9606	1349	COX7B	APLCC; LSDMCA2	OMIM:300885; HGNC:HGNC:2291; Ensembl:ENSG00000131174	X	Xq21.1	cytochrome c oxidase subunit 7B	protein-coding	NA	/
HBTAR000819	9606	1350	COX7C	-	OMIM:603774; HGNC:HGNC:2292; Ensembl:ENSG00000127184	5	5q14.3	cytochrome c oxidase subunit 7C	protein-coding	NA	/
HBTAR000820	9606	1351	COX8A	COX; COX8; COX8-2; COX8L; VIII; VIII-L	OMIM:123870; HGNC:HGNC:2294; Ensembl:ENSG00000176340	11	11q13.1	cytochrome c oxidase subunit 8A	protein-coding	NA	/
HBTAR000821	9606	1352	COX10	-	OMIM:602125; HGNC:HGNC:2260; Ensembl:ENSG00000006695	17	17p12	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	protein-coding	NA	/
HBTAR000822	9606	1353	COX11	COX11P	OMIM:603648; HGNC:HGNC:2261; Ensembl:ENSG00000166260	17	17q22	cytochrome c oxidase copper chaperone COX11	protein-coding	NA	/
HBTAR000823	9606	1356	CP	CP-2	OMIM:117700; HGNC:HGNC:2295; Ensembl:ENSG00000047457	3	3q24-q25.1	ceruloplasmin	protein-coding	NA	/
HBTAR000824	9606	1357	CPA1	CPA	OMIM:114850; HGNC:HGNC:2296; Ensembl:ENSG00000091704	7	7q32.2	carboxypeptidase A1	protein-coding	T33966	Research target
HBTAR000825	9606	1358	CPA2	-	OMIM:600688; HGNC:HGNC:2297; Ensembl:ENSG00000158516	7	7q32.2	carboxypeptidase A2	protein-coding	NA	/
HBTAR000826	9606	1359	CPA3	MC-CPA	OMIM:114851; HGNC:HGNC:2298; Ensembl:ENSG00000163751	3	3q24	carboxypeptidase A3	protein-coding	NA	/
HBTAR000827	9606	1360	CPB1	CPB; PASP; PCPB	OMIM:114852; HGNC:HGNC:2299; Ensembl:ENSG00000153002	3	3q24	carboxypeptidase B1	protein-coding	T36725	Research target
HBTAR000828	9606	1361	CPB2	CPU; PCPB; TAFI	OMIM:603101; HGNC:HGNC:2300; Ensembl:ENSG00000080618	13	13q14.13	carboxypeptidase B2	protein-coding	T98022	Clinical Trial target
HBTAR000829	9606	1362	CPD	GP180	OMIM:603102; HGNC:HGNC:2301; Ensembl:ENSG00000108582	17	17q11.2	carboxypeptidase D	protein-coding	NA	/
HBTAR000830	9606	1363	CPE	CPH	OMIM:114855; HGNC:HGNC:2303; Ensembl:ENSG00000109472	4	4q32.3	carboxypeptidase E	protein-coding	T46546	Research target
HBTAR000831	9606	1364	CLDN4	CPE-R; CPER; CPETR; CPETR1; WBSCR8; hCPE-R	OMIM:602909; HGNC:HGNC:2046; Ensembl:ENSG00000189143	7	7q11.23	claudin 4	protein-coding	T51270	Research target
HBTAR000832	9606	1365	CLDN3	C7orf1; CPE-R2; CPETR2; HRVP1; RVP1	OMIM:602910; HGNC:HGNC:2045; Ensembl:ENSG00000165215	7	7q11.23	claudin 3	protein-coding	NA	/
HBTAR000833	9606	1366	CLDN7	CEPTRL2; CLDN-7; CPETRL2; Hs.84359; claudin-1	OMIM:609131; HGNC:HGNC:2049; Ensembl:ENSG00000181885	17	17p13.1	claudin 7	protein-coding	NA	/
HBTAR000834	9606	1368	CPM	-	OMIM:114860; HGNC:HGNC:2311; Ensembl:ENSG00000135678	12	12q15	carboxypeptidase M	protein-coding	T65483	Research target
HBTAR000835	9606	1369	CPN1	CPN; SCPN	OMIM:603103; HGNC:HGNC:2312; Ensembl:ENSG00000120054	10	10q24.2	carboxypeptidase N subunit 1	protein-coding	T34471	Research target
HBTAR000836	9606	1370	CPN2	ACBP	OMIM:603104; HGNC:HGNC:2313; Ensembl:ENSG00000178772	3	3q29	carboxypeptidase N subunit 2	protein-coding	NA	/
HBTAR000837	9606	1371	CPOX	COX; CPO; CPX; HCP	OMIM:612732; HGNC:HGNC:2321; Ensembl:ENSG00000080819	3	3q11.2	coproporphyrinogen oxidase	protein-coding	NA	/
HBTAR000838	9606	1373	CPS1	CPSASE1; PHN	OMIM:608307; HGNC:HGNC:2323; Ensembl:ENSG00000021826	2	2q34	carbamoyl-phosphate synthase 1	protein-coding	T25163	Successful target
HBTAR000839	9606	1374	CPT1A	CPT1; CPT1-L; L-CPT1	OMIM:600528; HGNC:HGNC:2328; Ensembl:ENSG00000110090	11	11q13.3	carnitine palmitoyltransferase 1A	protein-coding	NA	/
HBTAR000840	9606	1375	CPT1B	CPT1-M; CPT1M; CPTI; CPTI-M; M-CPT1; MCCPT1; MCPT1	OMIM:601987; HGNC:HGNC:2329; Ensembl:ENSG00000205560	22	22q13.33	carnitine palmitoyltransferase 1B	protein-coding	T75888	Successful target
HBTAR000841	9606	1376	CPT2	CPT1; CPTASE; IIAE4	OMIM:600650; HGNC:HGNC:2330; Ensembl:ENSG00000157184	1	1p32.3	carnitine palmitoyltransferase 2	protein-coding	NA	/
HBTAR000842	9606	1378	CR1	C3BR; C4BR; CD35; KN	OMIM:120620; HGNC:HGNC:2334; Ensembl:ENSG00000203710	1	1q32.2	complement C3b/C4b receptor 1 (Knops blood group)	protein-coding	T48457	Clinical Trial target
HBTAR000843	9606	1379	CR1L	-	OMIM:605886; HGNC:HGNC:2335; Ensembl:ENSG00000197721	1	1q32.2	complement C3b/C4b receptor 1 like	protein-coding	NA	/
HBTAR000844	9606	1381	CRABP1	CRABP; CRABP-I; CRABPI; RBP5	OMIM:180230; HGNC:HGNC:2338; Ensembl:ENSG00000166426	15	15q25.1	cellular retinoic acid binding protein 1	protein-coding	NA	/
HBTAR000845	9606	1382	CRABP2	CRABP-II; RBP6	OMIM:180231; HGNC:HGNC:2339; Ensembl:ENSG00000143320	1	1q23.1	cellular retinoic acid binding protein 2	protein-coding	NA	/
HBTAR000846	9606	1384	CRAT	CAT; CAT1; NBIA8	OMIM:600184; HGNC:HGNC:2342; Ensembl:ENSG00000095321	9	9q34.11	carnitine O-acetyltransferase	protein-coding	T45074	Discontinued target
HBTAR000847	9606	1385	CREB1	CREB; CREB-1	OMIM:123810; HGNC:HGNC:2345; Ensembl:ENSG00000118260	2	2q33.3	cAMP responsive element binding protein 1	protein-coding	T92098	Research target
HBTAR000848	9606	1386	ATF2	CRE-BP1; CREB-2; CREB2; HB16; TREB7	OMIM:123811; HGNC:HGNC:784; Ensembl:ENSG00000115966	2	2q31.1	activating transcription factor 2	protein-coding	NA	/
HBTAR000849	9606	1387	CREBBP	CBP; KAT3A; MKHK1; RSTS; RSTS1	OMIM:600140; HGNC:HGNC:2348; Ensembl:ENSG00000005339	16	16p13.3	CREB binding protein	protein-coding	T03634	Clinical Trial target
HBTAR000850	9606	1388	ATF6B	CREB-RP; CREBL1; G13	OMIM:600984; HGNC:HGNC:2349; Ensembl:ENSG00000213676	6	6p21.32	activating transcription factor 6 beta	protein-coding	NA	/
HBTAR000851	9606	1389	CREBL2	-	OMIM:603476; HGNC:HGNC:2350; Ensembl:ENSG00000111269	12	12p13.1	cAMP responsive element binding protein like 2	protein-coding	NA	/
HBTAR000852	9606	1390	CREM	CREM-2; ICER; hCREM-2	OMIM:123812; HGNC:HGNC:2352; Ensembl:ENSG00000095794	10	10p11.21	cAMP responsive element modulator	protein-coding	NA	/
HBTAR000853	9606	1392	CRH	CRF; CRH1	OMIM:122560; HGNC:HGNC:2355; Ensembl:ENSG00000147571	8	8q13.1	corticotropin releasing hormone	protein-coding	T64137	Research target
HBTAR000854	9606	1393	CRHBP	CRF-BP; CRFBP	OMIM:122559; HGNC:HGNC:2356; Ensembl:ENSG00000145708	5	5q13.3	corticotropin releasing hormone binding protein	protein-coding	T36423	Research target
HBTAR000855	9606	1394	CRHR1	CRF-R; CRF-R-1; CRF-R1; CRF1; CRFR-1; CRFR1; CRH-R-1; CRH-R1; CRHR; CRHR1L	OMIM:122561; HGNC:HGNC:2357; Ensembl:ENSG00000120088	17	17q21.31	corticotropin releasing hormone receptor 1	protein-coding	T45262	Successful target
