Gene.Symbol,Description,Category,Uniprot.ID,Gifts,GC.Id,Relevance.score,GeneCards.Link
NQO2,N-Ribosyldihydronicotinamide:Quinone Reductase 2,Protein Coding,P16083,52,GC06P003506,21.6098461151123,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO2
CD34,CD34 Molecule,Protein Coding,P28906,52,GC01M207880,21.6084747314453,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34
UHRF1,Ubiquitin Like With PHD And Ring Finger Domains 1,Protein Coding,Q96T88,46,GC19P006178,21.6046962738037,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UHRF1
FOXD2-AS1,FOXD2 Adjacent Opposite Strand RNA 1,RNA Gene,"",20,GC01M047432,21.5848941802979,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXD2-AS1
MIR186,MicroRNA 186,RNA Gene,"",22,GC01M071067,21.5628604888916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR186
LGALS3,Galectin 3,Protein Coding,P17931,52,GC14P055124,21.5117988586426,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3
RPS20,Ribosomal Protein S20,Protein Coding,P60866,50,GC08M056067,21.427360534668,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS20
HEIH,Hepatocellular Carcinoma Up-Regulated EZH2-Associated Long Non-Coding RNA,RNA Gene,"",18,GC05M182188,21.394739151001,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEIH
LINC00473,Long Intergenic Non-Protein Coding RNA 473,RNA Gene,A8K010,25,GC06M165328,21.365198135376,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00473
MMP3,Matrix Metallopeptidase 3,Protein Coding,P08254,56,GC11M102835,21.3453960418701,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3
RMST,Rhabdomyosarcoma 2 Associated Transcript,RNA Gene,"",25,GC12P097431,21.3381423950195,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMST
MIR422A,MicroRNA 422a,RNA Gene,"",19,GC15M063870,21.3279113769531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR422A
MIR627,MicroRNA 627,RNA Gene,"",19,GC15M042199,21.3196125030518,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR627
IGFBP1,Insulin Like Growth Factor Binding Protein 1,Protein Coding,P08833,50,GC07P048599,21.3185234069824,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1
MIR28,MicroRNA 28,RNA Gene,"",21,GC03P188688,21.311351776123,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR28
GACAT1,Gastric Cancer Associated Transcript 1,RNA Gene,"",14,GC02P107754,21.3074150085449,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GACAT1
BCL2L11,BCL2 Like 11,Protein Coding,O43521,52,GC02P111119,21.2958526611328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11
LINC00963,Long Intergenic Non-Protein Coding RNA 963,RNA Gene,"",18,GC09P130154,21.2958450317383,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00963
MIR378A,MicroRNA 378a,RNA Gene,"",24,GC05P149732,21.2843551635742,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR378A
KLF4,KLF Transcription Factor 4,Protein Coding,O43474,53,GC09M107484,21.2746391296387,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF4
HSPB1,Heat Shock Protein Family B (Small) Member 1,Protein Coding,P04792,58,GC07P076302,21.2612571716309,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB1
MIR99B,MicroRNA 99b,RNA Gene,"",22,GC19P051692,21.2518177032471,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99B
IL18,Interleukin 18,Protein Coding,Q14116,50,GC11M112143,21.2487087249756,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18
DLEU2,Deleted In Lymphocytic Leukemia 2,RNA Gene,"",26,GC13M049913,21.1943073272705,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEU2
ADAMTS9-AS2,ADAMTS9 Antisense RNA 2,RNA Gene,"",21,GC03P064671,21.1941566467285,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS9-AS2
LINC-PINT,"Long Intergenic Non-Protein Coding RNA, P53 Induced Transcript",RNA Gene,A0A455ZAR2,23,GC07M130795,21.1701431274414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-PINT
CNOT9,CCR4-NOT Transcription Complex Subunit 9,Protein Coding,Q92600,44,GC02P218571,21.0976448059082,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNOT9
FGF7,Fibroblast Growth Factor 7,Protein Coding,P21781,50,GC15P049423,21.0868148803711,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF7
SERPINA3,Serpin Family A Member 3,Protein Coding,P01011,50,GC14P094612,21.0740146636963,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3
ACTA2,"Actin Alpha 2, Smooth Muscle",Protein Coding,P62736,53,GC10M088935,21.0690803527832,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2
EXT2,Exostosin Glycosyltransferase 2,Protein Coding,Q93063,52,GC11P044095,21.0634994506836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT2
PCGEM1,PCGEM1 Prostate-Specific Transcript,RNA Gene,"",21,GC02P192749,21.0576705932617,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCGEM1
HPSE,Heparanase,Protein Coding,Q9Y251,51,GC04M083292,21.0566749572754,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPSE
CSF2,Colony Stimulating Factor 2,Protein Coding,P04141,52,GC05P132073,21.0087108612061,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2
BSG,Basigin (Ok Blood Group),Protein Coding,P35613,51,GC19P000571,20.9945335388184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG
AATBC,Apoptosis Associated Transcript In Bladder Cancer,RNA Gene,"",20,GC21M043806,20.9869976043701,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATBC
HOTAIRM1,"HOXA Transcript Antisense RNA, Myeloid-Specific 1",RNA Gene,"",22,GC07P027095,20.9790821075439,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIRM1
PLAG1,PLAG1 Zinc Finger,Protein Coding,Q6DJT9,48,GC08M056470,20.9790420532227,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAG1
ENO2,Enolase 2,Protein Coding,P09104,54,GC12P006913,20.9721202850342,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO2
EPHA5,EPH Receptor A5,Protein Coding,P54756,53,GC04M065319,20.9284229278564,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA5
LINC01554,Long Intergenic Non-Protein Coding RNA 1554,RNA Gene,Q52M75,24,GC05P095838,20.9251747131348,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01554
HERC2,HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 2,Protein Coding,O95714,52,GC15M028111,20.9143047332764,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HERC2
FOXO3,Forkhead Box O3,Protein Coding,O43524,54,GC06P108559,20.9041137695313,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO3
PKM,Pyruvate Kinase M1/2,Protein Coding,P14618,56,GC15M072199,20.888277053833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKM
PRSS1,Serine Protease 1,Protein Coding,P07477,52,GC07P152152,20.8611793518066,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS1
HMOX1,Heme Oxygenase 1,Protein Coding,P09601,59,GC22P035380,20.8308773040771,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1
FOXP3,Forkhead Box P3,Protein Coding,Q9BZS1,54,GC0XM049250,20.804874420166,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3
CLDN7,Claudin 7,Protein Coding,O95471,46,GC17M007259,20.7687835693359,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN7
BID,BH3 Interacting Domain Death Agonist,Protein Coding,P55957,53,GC22M017734,20.745059967041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BID
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,P08684,55,GC07M099773,20.716796875,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4
PGC,Progastricsin,Protein Coding,P20142,49,GC06M041736,20.7155494689941,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGC
CDC42,Cell Division Cycle 42,Protein Coding,P60953,58,GC01P022052,20.6890106201172,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42
BACE1-AS,BACE1 Antisense RNA,RNA Gene,"",16,GC11P117378,20.6842708587646,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE1-AS
KLC1,Kinesin Light Chain 1,Protein Coding,Q07866,49,GC14P112082,20.6809101104736,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLC1
CCEPR,Cervical Carcinoma Expressed PCNA Regulatory LncRNA,RNA Gene,"",13,GC10M059174,20.6802234649658,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCEPR
TFF3,Trefoil Factor 3,Protein Coding,Q07654,47,GC21M042311,20.6318092346191,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF3
CLDN4,Claudin 4,Protein Coding,O14493,47,GC07P073799,20.6316413879395,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN4
DUXAP10,Double Homeobox A Pseudogene 10,Pseudogene,"",13,GC14M019288,20.5734176635742,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUXAP10
GATA3,GATA Binding Protein 3,Protein Coding,P23771,56,GC10P008045,20.5723285675049,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3
GKN1,Gastrokine 1,Protein Coding,Q9NS71,45,GC02P068974,20.5694980621338,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GKN1
MIR103A1,MicroRNA 103a-1,RNA Gene,"",20,GC05M168560,20.5635929107666,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR103A1
ANGPT2,Angiopoietin 2,Protein Coding,O15123,56,GC08M006499,20.5027484893799,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2
PGA3,Pepsinogen A3,Protein Coding,P0DJD8,40,GC11P061203,20.4211463928223,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGA3
REV3L,"REV3 Like, DNA Directed Polymerase Zeta Catalytic Subunit",Protein Coding,O60673,52,GC06M111299,20.3670806884766,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REV3L
MIR16-2,MicroRNA 16-2,RNA Gene,"",21,GC03P160418,20.3512477874756,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR16-2
CXCR2,C-X-C Motif Chemokine Receptor 2,Protein Coding,P25025,58,GC02P218125,20.3394241333008,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR2
PCBP2-OT1,PCBP2 Overlapping Transcript 1,RNA Gene,"",12,GC12P053464,20.3332481384277,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP2-OT1
BMP2,Bone Morphogenetic Protein 2,Protein Coding,P12643,53,GC20P006767,20.3307933807373,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2
ETV6,ETS Variant Transcription Factor 6,Protein Coding,P41212,53,GC12P011649,20.3287258148193,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETV6
THBS4,Thrombospondin 4,Protein Coding,P35443,49,GC05P079991,20.312292098999,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS4
ABCC2,ATP Binding Cassette Subfamily C Member 2,Protein Coding,Q92887,54,GC10P099782,20.2784461975098,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2
FGF1,Fibroblast Growth Factor 1,Protein Coding,P05230,54,GC05M142555,20.2614364624023,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF1
MIR100HG,Mir-100-Let-7a-2-Mir-125b-1 Cluster Host Gene,RNA Gene,"",22,GC11M122029,20.26100730896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR100HG
MIR129-2,MicroRNA 129-2,RNA Gene,"",21,GC11P043844,20.2290267944336,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR129-2
FSCN1,Fascin Actin-Bundling Protein 1,Protein Coding,Q16658,50,GC07P005592,20.2180881500244,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSCN1
MT-CO1,Mitochondrially Encoded Cytochrome C Oxidase I,Protein Coding,P00395,38,GCMTP005906,20.2155170440674,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO1
CDH17,Cadherin 17,Protein Coding,Q12864,49,GC08M094127,20.1941947937012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH17
CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,P16220,57,GC02P207529,20.1899299621582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1
MPO,Myeloperoxidase,Protein Coding,P05164,60,GC17M058269,20.1851806640625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO
DLEC1,DLEC1 Cilia And Flagella Associated Protein,Protein Coding,Q9Y238,43,GC03P038038,20.1120204925537,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEC1
MIR184,MicroRNA 184,RNA Gene,"",25,GC15P079209,20.1107597351074,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR184
MTUS1,Microtubule Associated Scaffold Protein 1,Protein Coding,Q9ULD2,41,GC08M017643,20.0951194763184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTUS1
MIR493HG,MIR493 Cluster Host Gene,RNA Gene,"",14,GC14P112754,20.0829029083252,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR493HG
ENSG00000276919,"",RNA Gene,"",10,GC14P112169,20.0829029083252,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000276919
GRB2,Growth Factor Receptor Bound Protein 2,Protein Coding,P62993,53,GC17M075318,20.0753326416016,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB2
WNT1,Wnt Family Member 1,Protein Coding,P04628,54,GC12P050404,20.0745220184326,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT1
OPCML,Opioid Binding Protein/Cell Adhesion Molecule Like,Protein Coding,Q14982,49,GC11M132405,20.0657348632813,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPCML
RABL3,"RAB, Member Of RAS Oncogene Family Like 3",Protein Coding,Q5HYI8,42,GC03M120686,20.0652294158936,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RABL3
ITGA6,Integrin Subunit Alpha 6,Protein Coding,P23229,57,GC02P172427,20.0369758605957,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA6
IL1A,Interleukin 1 Alpha,Protein Coding,P01583,52,GC02M112773,20.0367832183838,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
ANXA1,Annexin A1,Protein Coding,P04083,53,GC09P073151,20.0188007354736,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA1
ING1,Inhibitor Of Growth Family Member 1,Protein Coding,Q9UK53,50,GC13P110712,20.0160064697266,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ING1
CPS1-IT1,CPS1 Intronic Transcript 1,RNA Gene,"",21,GC02P210617,19.9979267120361,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1-IT1
HDAC2,Histone Deacetylase 2,Protein Coding,Q92769,59,GC06M113933,19.9955139160156,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2
MIR218-2,MicroRNA 218-2,RNA Gene,"",22,GC05M168768,19.984447479248,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR218-2
AGO2,Argonaute RISC Catalytic Component 2,Protein Coding,Q9UKV8,50,GC08M140522,19.974142074585,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO2
MIR20B,MicroRNA 20b,RNA Gene,"",17,GC0XM134377,19.973783493042,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20B
POU5F1B,POU Class 5 Homeobox 1B,Protein Coding,Q06416,39,GC08P127322,19.9532871246338,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1B
NPM1,Nucleophosmin 1,Protein Coding,P06748,57,GC05P171387,19.9415740966797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPM1
COMT,Catechol-O-Methyltransferase,Protein Coding,P21964,58,GC22P019941,19.9283981323242,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT
MIR605,MicroRNA 605,RNA Gene,"",20,GC10P051299,19.9156379699707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR605
TOE1,"Target Of EGR1, Exonuclease",Protein Coding,Q96GM8,45,GC01P045630,19.9065856933594,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOE1
AMER1,APC Membrane Recruitment Protein 1,Protein Coding,Q5JTC6,43,GC0XM064185,19.8801593780518,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMER1
MIR449A,MicroRNA 449a,RNA Gene,"",24,GC05M055171,19.8488521575928,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR449A
ETV4,ETS Variant Transcription Factor 4,Protein Coding,P43268,49,GC17M043527,19.8457527160645,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETV4
CEACAM3,CEA Cell Adhesion Molecule 3,Protein Coding,P40198,49,GC19P041796,19.8167572021484,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM3
GATA2,GATA Binding Protein 2,Protein Coding,P23769,56,GC03M128479,19.8140640258789,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA2
NTRK3,Neurotrophic Receptor Tyrosine Kinase 3,Protein Coding,Q16288,60,GC15M087859,19.8111152648926,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK3
BDNF-AS,BDNF Antisense RNA,RNA Gene,"",24,GC11P027619,19.7867050170898,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS
SBF2-AS1,SBF2 Antisense RNA 1,RNA Gene,"",20,GC11P009758,19.7795696258545,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBF2-AS1
MIR138-1,MicroRNA 138-1,RNA Gene,"",23,GC03P044115,19.7752170562744,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR138-1
EXT1,Exostosin Glycosyltransferase 1,Protein Coding,Q16394,54,GC08M117798,19.7712631225586,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT1
BAK1,BCL2 Antagonist/Killer 1,Protein Coding,Q16611,52,GC06M033572,19.7711639404297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAK1
LOC126860438,MED14-Independent Group 3 Enhancer GRCh37_chr8:90959982-90961181,Functional Element,"",4,GC08P089947,19.7636642456055,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126860438
ANPEP,"Alanyl Aminopeptidase, Membrane",Protein Coding,P15144,56,GC15M089784,19.7542133331299,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANPEP
RGMB-AS1,RGMB Antisense RNA 1,RNA Gene,"",18,GC05M098769,19.7541542053223,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGMB-AS1
SLC25A25-AS1,SLC25A25 Antisense RNA 1,RNA Gene,"",18,GC09M128108,19.7494792938232,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A25-AS1
SOCS1,Suppressor Of Cytokine Signaling 1,Protein Coding,O15524,52,GC16M013141,19.7431182861328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS1
MIR30C1,MicroRNA 30c-1,RNA Gene,"",24,GC01P040757,19.7280731201172,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30C1
JAK1,Janus Kinase 1,Protein Coding,P23458,61,GC01M064833,19.7155246734619,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1
SMARCA2,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 2",Protein Coding,P51531,57,GC09P001980,19.6775588989258,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA2
TP63,Tumor Protein P63,Protein Coding,Q9H3D4,53,GC03P189598,19.6751823425293,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63
DIRC3,Disrupted In Renal Carcinoma 3,RNA Gene,"",25,GC02M217284,19.6581344604492,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIRC3
EIF4EBP1,Eukaryotic Translation Initiation Factor 4E Binding Protein 1,Protein Coding,Q13541,53,GC08P038813,19.6428184509277,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4EBP1
HABP2,Hyaluronan Binding Protein 2,Protein Coding,Q14520,52,GC10P113550,19.6121616363525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HABP2
CEBPA,CCAAT Enhancer Binding Protein Alpha,Protein Coding,P49715,53,GC19M033299,19.6110210418701,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPA
CFTR,CF Transmembrane Conductance Regulator,Protein Coding,P13569,58,GC07P117287,19.5754470825195,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR
MIR376A1,MicroRNA 376a-1,RNA Gene,"",18,GC14P112736,19.5620651245117,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR376A1
DMD,Dystrophin,Protein Coding,P11532,52,GC0XM031097,19.5492973327637,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD
PXN,Paxillin,Protein Coding,P49023,52,GC12M120210,19.5331001281738,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXN
MIR29B1,MicroRNA 29b-1,RNA Gene,"",24,GC07M130877,19.5275840759277,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B1
CYP1B1,Cytochrome P450 Family 1 Subfamily B Member 1,Protein Coding,Q16678,55,GC02M038066,19.5185050964355,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1B1
LOX,Lysyl Oxidase,Protein Coding,P28300,54,GC05M122063,19.5105094909668,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX
CHUK,Component Of Inhibitor Of Nuclear Factor Kappa B Kinase Complex,Protein Coding,O15111,57,GC10M100296,19.4901561737061,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHUK
TGFB2,Transforming Growth Factor Beta 2,Protein Coding,P61812,58,GC01P218345,19.488941192627,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2
RIPK1,Receptor Interacting Serine/Threonine Kinase 1,Protein Coding,Q13546,56,GC06P003520,19.4563083648682,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1
PEG10,Paternally Expressed 10,Protein Coding,Q86TG7,46,GC07P094656,19.4253463745117,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEG10
PGA4,Pepsinogen A4,Protein Coding,P0DJD7,34,GC11P061222,19.4204330444336,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGA4
MMP13,Matrix Metallopeptidase 13,Protein Coding,P45452,57,GC11M102942,19.4079208374023,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP13
PBOV1,Prostate And Breast Cancer Overexpressed 1,Protein Coding,Q9GZY1,31,GC06M138215,19.404333114624,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBOV1
MYCN,"MYCN Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P04198,54,GC02P015951,19.3815574645996,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCN
CDH3,Cadherin 3,Protein Coding,P22223,54,GC16P068699,19.3748798370361,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH3
DNM3OS,DNM3 Opposite Strand/Antisense RNA,RNA Gene,"",22,GC01M172226,19.3737144470215,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM3OS
CD9,CD9 Molecule,Protein Coding,P21926,50,GC12P028152,19.372932434082,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD9
RARA,Retinoic Acid Receptor Alpha,Protein Coding,P10276,57,GC17P040309,19.3720207214355,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARA
KRT8,Keratin 8,Protein Coding,P05787,53,GC12M052897,19.3634738922119,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT8
CLDN3,Claudin 3,Protein Coding,O15551,46,GC07M073768,19.3506622314453,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN3
PGA5,Pepsinogen A5,Protein Coding,P0DJD9,43,GC11P061241,19.3329048156738,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGA5
PRKDC,"Protein Kinase, DNA-Activated, Catalytic Subunit",Protein Coding,P78527,57,GC08M047773,19.28466796875,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKDC
MIR9-3,MicroRNA 9-3,RNA Gene,"",21,GC15P089368,19.2638511657715,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-3
MIR454,MicroRNA 454,RNA Gene,"",21,GC17M059137,19.2623977661133,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR454
MIR452,MicroRNA 452,RNA Gene,"",18,GC0XM151959,19.2297306060791,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR452
ZNF521,Zinc Finger Protein 521,Protein Coding,Q96K83,45,GC18M025061,19.2145900726318,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF521
PTPN12,Protein Tyrosine Phosphatase Non-Receptor Type 12,Protein Coding,Q05209,54,GC07P077537,19.1538009643555,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN12
DIABLO,Diablo IAP-Binding Mitochondrial Protein,Protein Coding,Q9NR28,53,GC12M122876,19.1232261657715,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIABLO
CDH10,Cadherin 10,Protein Coding,Q9Y6N8,47,GC05M024522,19.1211433410645,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH10
ILK,Integrin Linked Kinase,Protein Coding,Q13418,51,GC11P006604,19.1151580810547,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ILK
SFRP1,Secreted Frizzled Related Protein 1,Protein Coding,Q8N474,50,GC08M041262,19.0871028900146,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP1
FADD,Fas Associated Via Death Domain,Protein Coding,Q13158,53,GC11P070203,19.0261459350586,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADD
MAP2K3,Mitogen-Activated Protein Kinase Kinase 3,Protein Coding,P46734,56,GC17P076203,19.0203266143799,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K3
EIF4E,Eukaryotic Translation Initiation Factor 4E,Protein Coding,P06730,56,GC04M098879,19.012451171875,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E
CASR,Calcium Sensing Receptor,Protein Coding,P41180,58,GC03P122183,18.9900341033936,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR
GCAWKR,Gastric Cancer Associated WDR5 And KAT2A Binding LncRNA,RNA Gene,"",12,GC15P133422,18.9631233215332,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCAWKR
MBD4,"Methyl-CpG Binding Domain 4, DNA Glycosylase",Protein Coding,O95243,50,GC03M129430,18.9324150085449,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD4
SOX4,SRY-Box Transcription Factor 4,Protein Coding,Q06945,50,GC06P021593,18.8941688537598,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX4
GAS6-AS1,GAS6 Antisense RNA 1,RNA Gene,"",21,GC13P113815,18.8884887695313,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS6-AS1
