Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"RNH1","Ribonuclease/Angiogenin Inhibitor 1","Protein Coding","P13489","44","GC11M007934","6.72759342193604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNH1"
"SMURF2","SMAD Specific E3 Ubiquitin Protein Ligase 2","Protein Coding","Q9HAU4","50","GC17M064542","6.7178168296814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMURF2"
"INSL3","Insulin Like 3","Protein Coding","P51460","46","GC19M017816","6.71780014038086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSL3"
"TACC2","Transforming Acidic Coiled-Coil Containing Protein 2","Protein Coding","O95359","42","GC10P121989","6.70926952362061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACC2"
"METTL13","Methyltransferase 13, EEF1A Lysine And N-Terminal Methyltransferase","Protein Coding","Q8N6R0","44","GC01P171781","6.70885944366455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL13"
"SLC2A4","Solute Carrier Family 2 Member 4","Protein Coding","P14672","53","GC17P012995","6.7062554359436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A4"
"HHIP","Hedgehog Interacting Protein","Protein Coding","Q96QV1","48","GC04P144645","6.70434284210205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HHIP"
"PNP","Purine Nucleoside Phosphorylase","Protein Coding","P00491","56","GC14P038215","6.70220279693604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNP"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","Q99497","54","GC01P008210","6.70019388198853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"SOX30","SRY-Box Transcription Factor 30","Protein Coding","O94993","44","GC05M157624","6.69903516769409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX30"
"PICALM","Phosphatidylinositol Binding Clathrin Assembly Protein","Protein Coding","Q13492","51","GC11M085957","6.69889163970947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PICALM"
"SEC14L2","SEC14 Like Lipid Binding 2","Protein Coding","O76054","46","GC22P030396","6.69721126556396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC14L2"
"TTC7A","Tetratricopeptide Repeat Domain 7A","Protein Coding","Q9ULT0","45","GC02P046906","6.69559764862061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC7A"
"FAM72D","Family With Sequence Similarity 72 Member D","Protein Coding","Q6L9T8","29","GC01P145274","6.69253826141357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM72D"
"SLC39A6","Solute Carrier Family 39 Member 6","Protein Coding","Q13433","46","GC18M036108","6.68785524368286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A6"
"DNTT","DNA Nucleotidylexotransferase","Protein Coding","P04053","48","GC10P096304","6.68692064285278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNTT"
"CST6","Cystatin E/M","Protein Coding","Q15828","48","GC11P072945","6.67903900146484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST6"
"BCAS4","Breast Carcinoma Amplified Sequence 4","Protein Coding","Q8TDM0","42","GC20P050794","6.67903232574463","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAS4"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","58","GC19P011212","6.67657852172852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"MICAL2","Microtubule Associated Monooxygenase, Calponin And LIM Domain Containing 2","Protein Coding","O94851","46","GC11P012095","6.67218637466431","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICAL2"
"HID1","HID1 Domain Containing","Protein Coding","Q8IV36","42","GC17M074950","6.67158794403076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HID1"
"LAMA4","Laminin Subunit Alpha 4","Protein Coding","Q16363","52","GC06M112107","6.67096519470215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA4"
"RNF8","Ring Finger Protein 8","Protein Coding","O76064","48","GC06P104253","6.66514301300049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF8"
"ARRB1","Arrestin Beta 1","Protein Coding","P49407","50","GC11M109583","6.66201210021973","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB1"
"SLC9A4","Solute Carrier Family 9 Member A4","Protein Coding","Q6AI14","41","GC02P102456","6.66125106811523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A4"
"MSH5","MutS Homolog 5","Protein Coding","O43196","48","GC06P104113","6.65544700622559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH5"
"MIR629","MicroRNA 629","RNA Gene","","20","GC15M070079","6.65483283996582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR629"
"ZBTB17","Zinc Finger And BTB Domain Containing 17","Protein Coding","Q13105","48","GC01M015943","6.6501145362854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB17"
"CSNK2B","Casein Kinase 2 Beta","Protein Coding","P67870","55","GC06P104101","6.64913463592529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2B"
"ZMIZ1","Zinc Finger MIZ-Type Containing 1","Protein Coding","Q9ULJ6","50","GC10P079068","6.64382076263428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMIZ1"
"SLC39A4","Solute Carrier Family 39 Member 4","Protein Coding","Q6P5W5","49","GC08M144409","6.64273071289063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A4"
"CRH","Corticotropin Releasing Hormone","Protein Coding","P06850","50","GC08M066176","6.64263916015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH"
"PTPN6","Protein Tyrosine Phosphatase Non-Receptor Type 6","Protein Coding","P29350","56","GC12P028322","6.63745355606079","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN6"
"FOXC2","Forkhead Box C2","Protein Coding","Q99958","49","GC16P086620","6.63512372970581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXC2"
"PDGFD","Platelet Derived Growth Factor D","Protein Coding","Q9GZP0","50","GC11M103907","6.63425636291504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFD"
"RSPO1","R-Spondin 1","Protein Coding","Q2MKA7","50","GC01M037612","6.63361740112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSPO1"
"PINX1","PIN2 (TERF1) Interacting Telomerase Inhibitor 1","Protein Coding","Q96BK5","46","GC08M010764","6.63255214691162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINX1"
"SLC16A3","Solute Carrier Family 16 Member 3","Protein Coding","O15427","50","GC17P082217","6.63182783126831","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A3"
"TRE-TTC3-1","TRNA-Glu (Anticodon TTC) 3-1","RNA Gene","","11","GC01P018380","6.62850952148438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRE-TTC3-1"
"CXCL3","C-X-C Motif Chemokine Ligand 3","Protein Coding","P19876","45","GC04M074036","6.62677669525146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL3"
"EPHA7","EPH Receptor A7","Protein Coding","Q15375","53","GC06M093240","6.62646389007568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA7"
"IL12B","Interleukin 12B","Protein Coding","P29460","52","GC05M159314","6.6260461807251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B"
"RETN","Resistin","Protein Coding","Q9HD89","49","GC19P007669","6.62339210510254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"MAOA","Monoamine Oxidase A","Protein Coding","P21397","56","GC0XP043654","6.62026023864746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"FAS-AS1","FAS Antisense RNA 1","RNA Gene","","17","GC10M088991","6.61822509765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS-AS1"
"USP48","Ubiquitin Specific Peptidase 48","Protein Coding","Q86UV5","46","GC01M021678","6.61785221099854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP48"
"SS18","SS18 Subunit Of BAF Chromatin Remodeling Complex","Protein Coding","Q15532","47","GC18M026016","6.61782169342041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SS18"
"TET1","Tet Methylcytosine Dioxygenase 1","Protein Coding","Q8NFU7","45","GC10P068560","6.60596942901611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET1"
"MLF1","Myeloid Leukemia Factor 1","Protein Coding","P58340","47","GC03P158571","6.6045937538147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLF1"
"REEP5","Receptor Accessory Protein 5","Protein Coding","Q00765","46","GC05M112876","6.6021900177002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REEP5"
"OLFM4","Olfactomedin 4","Protein Coding","Q6UX06","46","GC13P053028","6.60141658782959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLFM4"
"HOXA9","Homeobox A9","Protein Coding","P31269","45","GC07M027162","6.60110902786255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA9"
"GSR","Glutathione-Disulfide Reductase","Protein Coding","P00390","56","GC08M030678","6.59815883636475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR"
"ITGA11","Integrin Subunit Alpha 11","Protein Coding","Q9UKX5","49","GC15M068296","6.59552526473999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA11"
"HOXB2","Homeobox B2","Protein Coding","P14652","45","GC17M048540","6.59433031082153","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB2"
"FAM13A","Family With Sequence Similarity 13 Member A","Protein Coding","O94988","46","GC04M088725","6.59428071975708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM13A"
"GREB1L","GREB1 Like Retinoic Acid Receptor Coactivator","Protein Coding","Q9C091","42","GC18P021242","6.58673143386841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GREB1L"
"MIR1-1","MicroRNA 1-1","RNA Gene","","22","GC20P063783","6.58442974090576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1-1"
"TRA","T Cell Receptor Alpha Locus","Protein Coding","P0DSE1","25","GC14P021621","6.58243322372437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA"
"AQP3","Aquaporin 3 (Gill Blood Group)","Protein Coding","Q92482","52","GC09M033431","6.57653474807739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP3"
"TUT1","Terminal Uridylyl Transferase 1, U6 SnRNA-Specific","Protein Coding","Q9H6E5","42","GC11M109088","6.57301807403564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUT1"
"H3C1","H3 Clustered Histone 1","Protein Coding","P68431","45","GC06P103886","6.57027816772461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C1"
"ACLY","ATP Citrate Lyase","Protein Coding","P53396","53","GC17M041866","6.56787490844727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACLY"
"BIRC6","Baculoviral IAP Repeat Containing 6","Protein Coding","Q9NR09","48","GC02P032357","6.56293392181396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC6"
"SIRT6","Sirtuin 6","Protein Coding","Q8N6T7","52","GC19M004174","6.56151103973389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT6"
"PLK4","Polo Like Kinase 4","Protein Coding","O00444","54","GC04P127880","6.55754566192627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK4"
"TCF7L1","Transcription Factor 7 Like 1","Protein Coding","Q9HCS4","47","GC02P085133","6.55634117126465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L1"
"MIR767","MicroRNA 767","RNA Gene","","17","GC0XM152393","6.55583667755127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR767"
"ZAP70","Zeta Chain Of T Cell Receptor Associated Protein Kinase 70","Protein Coding","P43403","58","GC02P097817","6.55385732650757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZAP70"
"NECTIN4","Nectin Cell Adhesion Molecule 4","Protein Coding","Q96NY8","52","GC01M161073","6.5513129234314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NECTIN4"
"BLTP2","Bridge-Like Lipid Transfer Protein Family Member 2","Protein Coding","Q14667","40","GC17M061536","6.5503249168396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLTP2"
"RAI1","Retinoic Acid Induced 1","Protein Coding","Q7Z5J4","46","GC17P075969","6.54662847518921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAI1"
"NOP16","NOP16 Nucleolar Protein","Protein Coding","Q9Y3C1","40","GC05M176383","6.54599475860596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOP16"
"FUCA1","Alpha-L-Fucosidase 1","Protein Coding","P04066","55","GC01M023845","6.54537296295166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUCA1"
"DUS2","Dihydrouridine Synthase 2","Protein Coding","Q9NX74","45","GC16P067987","6.54354810714722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUS2"
"LINC00319","Long Intergenic Non-Protein Coding RNA 319","RNA Gene","","24","GC21P043446","6.54222011566162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00319"
"IRF2BPL","Interferon Regulatory Factor 2 Binding Protein Like","Protein Coding","Q9H1B7","46","GC14M077024","6.53751373291016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF2BPL"
"ENPP7","Ectonucleotide Pyrophosphatase/Phosphodiesterase 7","Protein Coding","Q6UWV6","45","GC17P079730","6.53377914428711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP7"
"NCR3","Natural Cytotoxicity Triggering Receptor 3","Protein Coding","O14931","46","GC06M031588","6.53275632858276","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCR3"
"ENDOG","Endonuclease G","Protein Coding","Q14249","49","GC09P128818","6.53109836578369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENDOG"
"PPP5C","Protein Phosphatase 5 Catalytic Subunit","Protein Coding","P53041","52","GC19P083509","6.52872753143311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP5C"
"PBK","PDZ Binding Kinase","Protein Coding","Q96KB5","50","GC08M027809","6.52464151382446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBK"
"CCAR1","Cell Division Cycle And Apoptosis Regulator 1","Protein Coding","Q8IX12","45","GC10P068721","6.51737117767334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCAR1"
"FABP1","Fatty Acid Binding Protein 1","Protein Coding","P07148","49","GC02M088122","6.51167392730713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP1"
"RAD21","RAD21 Cohesin Complex Component","Protein Coding","O60216","52","GC08M116846","6.50847101211548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD21"
"ZBTB20","Zinc Finger And BTB Domain Containing 20","Protein Coding","Q9HC78","48","GC03M114315","6.50825786590576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB20"
"BAGE","B Melanoma Antigen","Protein Coding","Q13072","21","GC21U900396","6.50565338134766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAGE"
"THORLNC","Testis Associated Oncogenic LncRNA","RNA Gene","","16","GC02M118133","6.50248336791992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THORLNC"
"PTPN9","Protein Tyrosine Phosphatase Non-Receptor Type 9","Protein Coding","P43378","48","GC15M075463","6.50243854522705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN9"
"TBX21","T-Box Transcription Factor 21","Protein Coding","Q9UL17","52","GC17P047733","6.49814891815186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBX21"
"DEFB4A","Defensin Beta 4A","Protein Coding","O15263","42","GC08P008249","6.4977879524231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB4A"
"IKZF3","IKAROS Family Zinc Finger 3","Protein Coding","Q9UKT9","49","GC17M060752","6.49622631072998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKZF3"
"SLC4A7","Solute Carrier Family 4 Member 7","Protein Coding","Q9Y6M7","49","GC03M027372","6.49190998077393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A7"
"SEMA4D","Semaphorin 4D","Protein Coding","Q92854","54","GC09M089360","6.49066066741943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA4D"
"KLF9","KLF Transcription Factor 9","Protein Coding","Q13886","42","GC09M070384","6.4904203414917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF9"
"TUBB2A","Tubulin Beta 2A Class IIa","Protein Coding","Q13885","53","GC06M003153","6.48993873596191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB2A"
"TRP-AGG2-5","TRNA-Pro (Anticodon AGG) 2-5","RNA Gene","","13","GC14M025163","6.4863805770874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-5"
"TRP-AGG2-6","TRNA-Pro (Anticodon AGG) 2-6","RNA Gene","","12","GC14M025166","6.48524379730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-6"
"TRP-AGG2-1","TRNA-Pro (Anticodon AGG) 2-1","RNA Gene","","10","GC01M167715","6.48524379730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-1"
"TRP-AGG2-2","TRNA-Pro (Anticodon AGG) 2-2","RNA Gene","","9","GC06P111672","6.48524379730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-2"
"TRP-AGG2-3","TRNA-Pro (Anticodon AGG) 2-3","RNA Gene","","9","GC07P133418","6.48524379730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-3"
"TRP-AGG2-4","TRNA-Pro (Anticodon AGG) 2-4","RNA Gene","","9","GC11P079397","6.48524379730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-4"
"TRP-AGG2-7","TRNA-Pro (Anticodon AGG) 2-7","RNA Gene","","8","GC16M010615","6.48524379730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-7"
"TRP-AGG2-8","TRNA-Pro (Anticodon AGG) 2-8","RNA Gene","","8","GC16P045988","6.48524379730225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-8"
"NR0B2","Nuclear Receptor Subfamily 0 Group B Member 2","Protein Coding","Q15466","48","GC01M029367","6.48339414596558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR0B2"
"NPRL2","NPR2 Like, GATOR1 Complex Subunit","Protein Coding","Q8WTW4","47","GC03M052512","6.4830174446106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPRL2"
"LINC01512","Long Intergenic Non-Protein Coding RNA 1512","RNA Gene","","15","GC06P104309","6.48046207427979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01512"
"NAPSA","Napsin A Aspartic Peptidase","Protein Coding","O96009","46","GC19M079947","6.48007726669312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAPSA"
"SMARCD1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily D, Member 1","Protein Coding","Q96GM5","49","GC12P050085","6.47934055328369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCD1"
"NUDC","Nuclear Distribution C, Dynein Complex Regulator","Protein Coding","Q9Y266","49","GC01P029484","6.47540616989136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDC"
"RANBP9","RAN Binding Protein 9","Protein Coding","Q96S59","49","GC06M013621","6.4751558303833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RANBP9"
"RUVBL1","RuvB Like AAA ATPase 1","Protein Coding","Q9Y265","52","GC03M128064","6.47469425201416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUVBL1"
"TNFRSF13C","TNF Receptor Superfamily Member 13C","Protein Coding","Q96RJ3","52","GC22M068206","6.46656656265259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF13C"
"BCL7B","BAF Chromatin Remodeling Complex Subunit BCL7B","Protein Coding","Q9BQE9","42","GC07M073536","6.46456527709961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL7B"
"SELL","Selectin L","Protein Coding","P14151","49","GC01M169690","6.46388673782349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELL"
"CMIP","C-Maf Inducing Protein","Protein Coding","Q8IY22","41","GC16P081445","6.46285676956177","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CMIP"
"PYCARD","PYD And CARD Domain Containing","Protein Coding","Q9ULZ3","49","GC16M031201","6.46237277984619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCARD"
"ATP1A1","ATPase Na+/K+ Transporting Subunit Alpha 1","Protein Coding","P05023","57","GC01P116372","6.45294523239136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1"
"RPL31","Ribosomal Protein L31","Protein Coding","P62899","48","GC02P101003","6.45146322250366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL31"
"IKZF1","IKAROS Family Zinc Finger 1","Protein Coding","Q13422","56","GC07P050303","6.451416015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKZF1"
"TUSC3","Tumor Suppressor Candidate 3","Protein Coding","Q13454","49","GC08P015417","6.44829320907593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUSC3"
"FOXQ1","Forkhead Box Q1","Protein Coding","Q9C009","41","GC06P001312","6.44794845581055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXQ1"
"SMURF1","SMAD Specific E3 Ubiquitin Protein Ligase 1","Protein Coding","Q9HCE7","51","GC07M099027","6.44504547119141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMURF1"
"MIR3196","MicroRNA 3196","RNA Gene","","13","GC20P063806","6.44448137283325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3196"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","52","GC11M008309","6.43831968307495","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"NALT1","NOTCH1 Associated LncRNA In T Cell Acute Lymphoblastic Leukemia 1","RNA Gene","","18","GC09P136547","6.43438482284546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NALT1"
"NEDD4L","NEDD4 Like E3 Ubiquitin Protein Ligase","Protein Coding","Q96PU5","52","GC18P058044","6.4328670501709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD4L"
"CCN6","Cellular Communication Network Factor 6","Protein Coding","O95389","48","GC06P112053","6.42538166046143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN6"
"RAG2","Recombination Activating 2","Protein Coding","P55895","47","GC11M036575","6.42406988143921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG2"
"ATP2A3","ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 3","Protein Coding","Q93084","52","GC17M003923","6.41538619995117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A3"
"TYK2","Tyrosine Kinase 2","Protein Coding","P29597","60","GC19M010350","6.41484928131104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYK2"
"CLDN6","Claudin 6","Protein Coding","P56747","46","GC16M003014","6.41301393508911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN6"
"SLC22A5","Solute Carrier Family 22 Member 5","Protein Coding","O76082","53","GC05P132369","6.41296195983887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A5"
"TLCD3A","TLC Domain Containing 3A","Protein Coding","Q8TBR7","38","GC17P002233","6.41177797317505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLCD3A"
"SPIN1","Spindlin 1","Protein Coding","Q9Y657","44","GC09P088388","6.41134452819824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPIN1"
"CDC37","Cell Division Cycle 37, HSP90 Cochaperone","Protein Coding","Q16543","50","GC19M010391","6.40864562988281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC37"
"HOXC-AS3","HOXC Cluster Antisense RNA 3","RNA Gene","","18","GC12M053981","6.4081449508667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXC-AS3"
"KDM5C","Lysine Demethylase 5C","Protein Coding","P41229","53","GC0XM053176","6.40776920318604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM5C"
"TMC6","Transmembrane Channel Like 6","Protein Coding","Q7Z403","50","GC17M078110","6.40626621246338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMC6"
"TJP2","Tight Junction Protein 2","Protein Coding","Q9UDY2","52","GC09P069121","6.40289115905762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TJP2"
"DOCK8","Dedicator Of Cytokinesis 8","Protein Coding","Q8NF50","52","GC09P000215","6.40029954910278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOCK8"
"GPNMB","Glycoprotein Nmb","Protein Coding","Q14956","52","GC07P023352","6.3984899520874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPNMB"
"SAMHD1","SAM And HD Domain Containing Deoxynucleoside Triphosphate Triphosphohydrolase 1","Protein Coding","Q9Y3Z3","50","GC20M036890","6.39328193664551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAMHD1"
"ATF2","Activating Transcription Factor 2","Protein Coding","P15336","54","GC02M175072","6.39048767089844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF2"
"BMS1P20","BMS1 Pseudogene 20","Pseudogene","","18","GC22P022298","6.38872480392456","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMS1P20"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","P14136","55","GC17M061018","6.38803100585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"HLA-E","Major Histocompatibility Complex, Class I, E","Protein Coding","P13747","48","GC06P104071","6.38250541687012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-E"
"DEPDC1","DEP Domain Containing 1","Protein Coding","Q5TB30","42","GC01M068474","6.36022329330444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEPDC1"
"CCBE1","Collagen And Calcium Binding EGF Domains 1","Protein Coding","Q6UXH8","47","GC18M059430","6.35680294036865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCBE1"
"GIPC1","GIPC PDZ Domain Containing Family Member 1","Protein Coding","O14908","50","GC19M015557","6.35679912567139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIPC1"
"STAG3L2","Stromal Antigen 3-Like 2 (Pseudogene)","Pseudogene","P0CL84","25","GC07M074881","6.35369157791138","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAG3L2"
"ABALON","Apoptotic BCL2L1-Antisense Long Non-Coding RNA","RNA Gene","","16","GC20P031721","6.34934520721436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABALON"
"VSIG1","V-Set And Immunoglobulin Domain Containing 1","Protein Coding","Q86XK7","42","GC0XP108044","6.34590482711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VSIG1"
"ARID4A","AT-Rich Interaction Domain 4A","Protein Coding","P29374","45","GC14P058298","6.34312725067139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID4A"
"OGFR","Opioid Growth Factor Receptor","Protein Coding","Q9NZT2","44","GC20P062804","6.34045219421387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGFR"
"OVCA2","OVCA2 Serine Hydrolase Domain Containing","Protein Coding","Q8WZ82","38","GC17P002425","6.33658456802368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OVCA2"
