Chinese name	Latin name	Latin name.link	Category Chinese name	Category Latin name
丁香 (Dingxiang)	Caryophylliflos	https://tcmsp-e.com/tcmspsearch.php?qr=Caryophylliflos&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
冬虫夏草 (Dongchongxiacao)	Corayceps	https://tcmsp-e.com/tcmspsearch.php?qr=Corayceps&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阳药	Yang Reinforcing Drugs
冬瓜皮 (Dongguapi)	Benincasae Exocarpium	https://tcmsp-e.com/tcmspsearch.php?qr=Benincasae%20Exocarpium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
冬瓜子 (Dongguazi)	Benincasae Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Benincasae%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
冬葵果 (Dongkuiguo)	Malvae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Malvae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
豆蔻 (Doukou)	Alpinia Katsumadai Hayat	https://tcmsp-e.com/tcmspsearch.php?qr=Alpinia%20Katsumadai%20Hayat&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化湿药	Dampness Removing Drugs
独活 (Duhuo)	Radix Angelicae Biseratae	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Angelicae%20Biseratae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
杜仲 (Duzhong)	Eucommiae Cortex	https://tcmsp-e.com/tcmspsearch.php?qr=Eucommiae%20Cortex&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阳药	Yang Reinforcing Drugs
杜仲叶 (Duzhongye)	Eucommiae Folium	https://tcmsp-e.com/tcmspsearch.php?qr=Eucommiae%20Folium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
断血流 (Duanxueliu)	Herba Clinopodii Polycephali.	https://tcmsp-e.com/tcmspsearch.php?qr=Herba%20Clinopodii%20Polycephali.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
莪术 (Ezhu)	Curcumae Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Curcumae%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
鹅不食草 (Ebushicao)	Centipedae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Centipedae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
儿茶 (Ercha)	Catechu	https://tcmsp-e.com/tcmspsearch.php?qr=Catechu&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
番泻叶 (Fanxieye)	Sennae Folium	https://tcmsp-e.com/tcmspsearch.php?qr=Sennae%20Folium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	攻下药	Offensive Purgative Medicinal
翻白草 (Fanbaicao)	Potentillae Discoloris Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Potentillae%20Discoloris%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
防风 (Fangfeng)	Saposhnikoviae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Saposhnikoviae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
防己 (Fangji)	Stephaniae Tetrandrae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Stephaniae%20Tetrandrae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
粉萆薢 (Fenbixie)	Dioscoreae Hypoglaucae Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Dioscoreae%20Hypoglaucae%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
凤尾草 (Fengweicao)	Pteridis Multifidae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Pteridis%20Multifidae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
凤仙透骨草 (Fengxiantougucao)	Impatiens Balsamina	https://tcmsp-e.com/tcmspsearch.php?qr=Impatiens%20Balsamina&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
凤眼草 (Fengyancao)	Ailanthi Altissimae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Ailanthi%20Altissimae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
佛手 (Foshou)	Citri Sarcodactylis Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Citri%20Sarcodactylis%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
茯苓 (Fuling)	Poria Cocos(Schw.) Wolf.	https://tcmsp-e.com/tcmspsearch.php?qr=Poria%20Cocos(Schw.)%20Wolf.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
浮萍 (Fuping)	Spirodelae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Spirodelae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛凉解表药	Pungent Cool Diaphoretics
附子 (Fuzi)	Aconiti Lateralis Radix Praeparata	https://tcmsp-e.com/tcmspsearch.php?qr=Aconiti%20Lateralis%20Radix%20Praeparata&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
覆盆子 (Fupenzi)	Rubi Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Rubi%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收涩药	Astringent Medicinal
甘草 (Gancao)	licorice	https://tcmsp-e.com/tcmspsearch.php?qr=licorice&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
甘松 (Gansong)	Nardostachyos Radix Et Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Nardostachyos%20Radix%20Et%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
甘遂 (Gansui)	Kansui Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Kansui%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	通水药	Drastic Purgatives
干姜 (Ganjiang)	Zingiberis Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Zingiberis%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
高良姜 (Gaoliangjiang)	Alpiniae Officinarum Rhizome	https://tcmsp-e.com/tcmspsearch.php?qr=Alpiniae%20Officinarum%20Rhizome&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
藁本 (Gaoben)	Ligustici Rhizoma Et Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Ligustici%20Rhizoma%20Et%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
葛花 (Gehua)	Puerariae Flos	https://tcmsp-e.com/tcmspsearch.php?qr=Puerariae%20Flos&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛凉解表药	Pungent Cool Diaphoretics
功劳木 (Gonglaomu)	Mahoniae Caulis	https://tcmsp-e.com/tcmspsearch.php?qr=Mahoniae%20Caulis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
钩藤 (Gouteng)	Uncariae Ramulus Cumuncis	https://tcmsp-e.com/tcmspsearch.php?qr=Uncariae%20Ramulus%20Cumuncis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	平肝熄风药	Liver-Pacifying Wind-Extinguishing Medicinal
枸骨叶 (Gouguye)	Folium Ilicis Cornutae	https://tcmsp-e.com/tcmspsearch.php?qr=Folium%20Ilicis%20Cornutae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清虚热药	Asthenic Heat Dispelling Drugs
枸杞子 (Gouqizi)	Lycii Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Lycii%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阴药	Yin-Tonifying Medicinal
谷精草 (Gujingcao)	Eriocauli Flos	https://tcmsp-e.com/tcmspsearch.php?qr=Eriocauli%20Flos&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热泻火药	Fire Purging Drugs
骨碎补 (Gusuibu)	Drynariae Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Drynariae%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阳药	Yang Reinforcing Drugs
瓜蒂 (Guadi)	Calyx Cucumis	https://tcmsp-e.com/tcmspsearch.php?qr=Calyx%20Cucumis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	涌吐药	Emetic Medicinal
瓜蒌 (Gualou)	Trichosanthes Kirilowii Maxim	https://tcmsp-e.com/tcmspsearch.php?qr=Trichosanthes%20Kirilowii%20Maxim&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
关黄柏 (Guanhuangbo)	Phellodendri Amurensis Cortex	https://tcmsp-e.com/tcmspsearch.php?qr=Phellodendri%20Amurensis%20Cortex&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
贯叶金丝桃 (Guanyejinsitao)	Herbahypericiperforati	https://tcmsp-e.com/tcmspsearch.php?qr=Herbahypericiperforati&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收敛止血药	Astringent Hemostatic Medicinal
贯众 (Guanzhong)	Fortunes Bossfern Rhizome	https://tcmsp-e.com/tcmspsearch.php?qr=Fortunes%20Bossfern%20Rhizome&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
广藿香 (Guanghuoxiang)	Pogostemon Cablin (Blanco) Benth.	https://tcmsp-e.com/tcmspsearch.php?qr=Pogostemon%20Cablin%20(Blanco)%20Benth.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化湿药	Dampness Removing Drugs
广枣 (Guangzao)	Choerospondiatis Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Choerospondiatis%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
鬼箭羽 (Guijianyu)	Euonymi Alati Ramulus	https://tcmsp-e.com/tcmspsearch.php?qr=Euonymi%20Alati%20Ramulus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
鬼针草 (Guizhencao)	Bidentis Bipinnatae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Bidentis%20Bipinnatae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
桂枝 (Guizhi)	Cinnamomi Ramulus	https://tcmsp-e.com/tcmspsearch.php?qr=Cinnamomi%20Ramulus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
海风藤 (Haifengteng)	Caulis Piperis Kadsurae	https://tcmsp-e.com/tcmspsearch.php?qr=Caulis%20Piperis%20Kadsurae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
海金沙 (Haijinsha)	Lygodii Spora	https://tcmsp-e.com/tcmspsearch.php?qr=Lygodii%20Spora&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
海桐皮 (Haitongpi)	Cortex Erythrinae	https://tcmsp-e.com/tcmspsearch.php?qr=Cortex%20Erythrinae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
海藻 (Haizao)	Sargassum	https://tcmsp-e.com/tcmspsearch.php?qr=Sargassum&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
诃子 (Hezi)	Chebulae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Chebulae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收涩药	Astringent Medicinal
荷叶 (Heye)	Folium Nelumbinis	https://tcmsp-e.com/tcmspsearch.php?qr=Folium%20Nelumbinis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
核桃仁 (Hetaoren)	Juglandis Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Juglandis%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阳药	Yang Reinforcing Drugs
鹤虱 (Heshi)	Carpesiumabrotanoidesl.	https://tcmsp-e.com/tcmspsearch.php?qr=Carpesiumabrotanoidesl.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	驱虫药	Antiparasitic Drugs
黑豆 (Heidou)	Sojae Semen Nigrum	https://tcmsp-e.com/tcmspsearch.php?qr=Sojae%20Semen%20Nigrum&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阴药	Yin-Tonifying Medicinal
黑老虎 (Heilaohu)	Kadsurae Coccineae Radix Et Caulis	https://tcmsp-e.com/tcmspsearch.php?qr=Kadsurae%20Coccineae%20Radix%20Et%20Caulis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
黑芝麻 (Heizhima)	Sesami Nigrum Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Sesami%20Nigrum%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阴药	Yin-Tonifying Medicinal
红参 (Hongshen)	Ginsen Radix Et Rhizoma Rubra	https://tcmsp-e.com/tcmspsearch.php?qr=Ginsen%20Radix%20Et%20Rhizoma%20Rubra&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
红花 (Honghua)	Carthami Flos	https://tcmsp-e.com/tcmspsearch.php?qr=Carthami%20Flos&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
红芪 (Hongqi)	Hedysari Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Hedysari%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
猴枣 (Houzao)	Macacae Calcalus Gasteris	https://tcmsp-e.com/tcmspsearch.php?qr=Macacae%20Calcalus%20Gasteris&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
厚朴 (Houpu)	Magnolia Officinalis Rehd Et Wils．	https://tcmsp-e.com/tcmspsearch.php?qr=Magnolia%20Officinalis%20Rehd%20Et%20Wils．&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化湿药	Dampness Removing Drugs
胡黄连 (Huhuanglian)	Picrorhizae Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Picrorhizae%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清虚热药	Asthenic Heat Dispelling Drugs
胡椒 (Hujiao)	Piperis Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Piperis%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
胡芦巴 (Huluba)	Trigonellae Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Trigonellae%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阳药	Yang Reinforcing Drugs
槲寄生 (Hujisheng)	Viscum Angulatum Heyne	https://tcmsp-e.com/tcmspsearch.php?qr=Viscum%20Angulatum%20Heyne&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	祛风湿筋骨药	Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal
虎耳草 (Huercao)	Saxifraga Stolonifera	https://tcmsp-e.com/tcmspsearch.php?qr=Saxifraga%20Stolonifera&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
虎杖 (Huzhang)	Polygoni Cuspidati Rhizoma Et Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Polygoni%20Cuspidati%20Rhizoma%20Et%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
花椒 (Huajiao)	Zanthoxyli Pericarpium	https://tcmsp-e.com/tcmspsearch.php?qr=Zanthoxyli%20Pericarpium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	温里药	Warming Interior Drugs
花生衣 (Huashengyi)	Peanut Skin	https://tcmsp-e.com/tcmspsearch.php?qr=Peanut%20Skin&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收敛止血药	Astringent Hemostatic Medicinal
华山参 (Huashanshen)	Physochlainae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Physochlainae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	止咳平喘药	Antitussive Antiasthmetics
化橘红 (Huajuhong)	Citri Grandis Exocarpium	https://tcmsp-e.com/tcmspsearch.php?qr=Citri%20Grandis%20Exocarpium&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
槐花 (Huaihua)	Sophora Japonica L.	https://tcmsp-e.com/tcmspsearch.php?qr=Sophora%20Japonica%20L.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
槐角 (Huaijiao)	Fructussophorae	https://tcmsp-e.com/tcmspsearch.php?qr=Fructussophorae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
黄柏 (Huangbo)	Phellodendri Chinrnsis Cortex	https://tcmsp-e.com/tcmspsearch.php?qr=Phellodendri%20Chinrnsis%20Cortex&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
黄精 (Huangjing)	Polygonati Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Polygonati%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补阴药	Yin-Tonifying Medicinal
黄连 (Huanglian)	Coptidis Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Coptidis%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
黄芪 (Huangqi)	Hedysarum Multijugum Maxim.	https://tcmsp-e.com/tcmspsearch.php?qr=Hedysarum%20Multijugum%20Maxim.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
黄芩 (Huangqin)	Scutellariae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Scutellariae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
黄药子 (Huangyaozi)	Dioscoreaebulbiferae	https://tcmsp-e.com/tcmspsearch.php?qr=Dioscoreaebulbiferae&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
火麻仁 (Huomaren)	Cannabis Sativa L.	https://tcmsp-e.com/tcmspsearch.php?qr=Cannabis%20Sativa%20L.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	润下药	Laxatives
鸡骨草 (Jigucao)	Abri Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Abri%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
鸡冠花 (Jiguanhua)	Celosia Cristata L.	https://tcmsp-e.com/tcmspsearch.php?qr=Celosia%20Cristata%20L.&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收敛止血药	Astringent Hemostatic Medicinal
鸡屎藤 (Jishiteng)	Paederiae Scandentis Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Paederiae%20Scandentis%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	消食药	Digestants
鸡血藤 (Jixueteng)	Spatholobus Suberectus Dunn	https://tcmsp-e.com/tcmspsearch.php?qr=Spatholobus%20Suberectus%20Dunn&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
积雪草 (Jixuecao)	Centella Asiatica (L.) Urban[Hydro-Cotyle Asiatica L.]	https://tcmsp-e.com/tcmspsearch.php?qr=Centella%20Asiatica%20(L.)%20Urban[Hydro-Cotyle%20Asiatica%20L.]&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
急性子 (Jixingzi)	Impatientis Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Impatientis%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
蒺藜 (Jili)	Tribulifructus	https://tcmsp-e.com/tcmspsearch.php?qr=Tribulifructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	平肝熄风药	Liver-Pacifying Wind-Extinguishing Medicinal
姜黄 (Jianghuang)	Curcumaelongae Rhizoma	https://tcmsp-e.com/tcmspsearch.php?qr=Curcumaelongae%20Rhizoma&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	活血祛瘀药	Blood Activating Stasis Removing Drugs
降香 (Jiangxiang)	Dalbergiae Odoriferae Lignum	https://tcmsp-e.com/tcmspsearch.php?qr=Dalbergiae%20Odoriferae%20Lignum&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	理气药	Qi Regulating Drugs
绞股蓝 (Jiaoguolan)	Gynostemmae Pentaphylli Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Gynostemmae%20Pentaphylli%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	补气药	Qi Reinforcing Drugs
芥子 (Jiezi)	Sinapis Semen	https://tcmsp-e.com/tcmspsearch.php?qr=Sinapis%20Semen&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
金沸草 (Jinfeicao)	Inulae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Inulae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	化痰药	Phlegresolving Medicine
金果揽 (Jinguolan)	Tinosporae Radix	https://tcmsp-e.com/tcmspsearch.php?qr=Tinosporae%20Radix&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
金莲花 (Jinlianhua)	Trollius Chinensis	https://tcmsp-e.com/tcmspsearch.php?qr=Trollius%20Chinensis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
金钱草 (Jinqiancao)	Lysimachiae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Lysimachiae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	利水渗湿药	Diuretic Dampness Excreting Drugs
金荞麦 (Jinqiaomai)	Rhizoma Fagopyri Cymosi	https://tcmsp-e.com/tcmspsearch.php?qr=Rhizoma%20Fagopyri%20Cymosi&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
金银花 (Jinyinhua)	Lonicerae Japonicae Flos	https://tcmsp-e.com/tcmspsearch.php?qr=Lonicerae%20Japonicae%20Flos&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
金樱子 (Jinyingzi)	Rosae Laevigatae Fructus	https://tcmsp-e.com/tcmspsearch.php?qr=Rosae%20Laevigatae%20Fructus&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	收涩药	Astringent Medicinal
金盏菊花 (Jinzhanjuhua)	Calendula Officinalis	https://tcmsp-e.com/tcmspsearch.php?qr=Calendula%20Officinalis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	凉血止血药	Blood-Cooling Hemostatic Medicinal
锦灯笼 (Jindenglong)	Calyx Seu Fructus Physalis	https://tcmsp-e.com/tcmspsearch.php?qr=Calyx%20Seu%20Fructus%20Physalis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	清热解毒药	Antipyretic Detoxicate Drugs
京大戟 (Jingdaji)	Radix Euphorbiae Pekinensis	https://tcmsp-e.com/tcmspsearch.php?qr=Radix%20Euphorbiae%20Pekinensis&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	通水药	Drastic Purgatives
荆芥 (Jingjie)	Schizonepetae Herba	https://tcmsp-e.com/tcmspsearch.php?qr=Schizonepetae%20Herba&qsr=herb_en_name&token=ff2a4dfa4373a4dfe5a7a93e26adaf15	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
